,equity
2021-01-14,100000.0
2021-02-23,99018.05447736758
2021-03-01,99032.99240410041
2021-03-08,97876.79883891526
2021-03-09,98772.16536756545
2021-03-11,98239.63805862899
2021-03-12,97583.94270930307
2021-03-15,97379.4576776283
2021-03-18,98000.53421353207
2021-03-22,96175.13798303001
2021-03-24,96484.35421986622
2021-03-25,97008.99467937024
2021-03-29,97624.60519221488
2021-03-30,96930.46231656289
2021-04-05,96097.65150575207
2021-04-06,97888.69960947009
2021-04-07,97555.52882022738
2021-04-08,97832.56445637924
2021-04-09,95644.70797609948
2021-04-12,95030.63744465496
2021-04-13,94825.80495369683
2021-04-14,95210.07960514673
2021-04-15,94576.24902155618
2021-04-16,96719.78702718731
2021-04-20,96097.59556435031
2021-05-07,95562.03381653904
2021-05-10,95387.67446799381
2021-05-12,95621.17362914993
2021-05-14,97082.04666312432
2021-05-17,97431.73926140039
2021-05-18,98039.82336149098
2021-05-20,98239.13435735612
2021-05-24,98186.895578725
2021-05-27,98238.69644476574
2021-05-28,98619.06253388744
2021-06-01,97451.22353538904
2021-06-02,98578.97029161519
2021-06-03,98498.23138277179
2021-06-04,98723.62138556998
2021-06-07,97721.44394522408
2021-06-08,99075.06866567688
2021-06-09,100107.56933730986
2021-06-10,100324.43065886179
2021-06-11,100618.71555957594
2021-06-14,99870.91952476365
2021-06-15,99037.98785276696
2021-06-16,98706.15092416931
2021-06-17,99755.18833358222
2021-06-18,99058.92777874312
2021-06-21,98900.48390634121
2021-06-22,101653.02963825806
2021-06-24,102271.82551240183
2021-06-25,104102.3426937107
2021-06-30,103649.55917994409
2021-07-08,104040.21770275239
2021-07-12,103544.07341517902
2021-07-13,103587.95502257612
2021-07-14,104191.88187041022
2021-07-23,103303.33591957127
2021-07-29,103811.73358838329
2021-08-16,104376.25261713997
2021-08-17,104482.88771034393
2021-08-23,103454.91063428174
2021-08-26,103979.93410062176
2021-08-27,104993.06355076622
2021-08-30,105797.47504706681
2021-09-01,105926.83703858966
2021-09-02,105965.94290169656
2021-09-03,105066.51773227888
2021-09-07,105177.38241346618
2021-09-08,105016.55472820436
2021-09-09,106384.61748748696
2021-09-10,105966.72645166639
2021-09-13,105421.29891806195
2021-09-14,105850.52595260367
2021-09-15,105415.13332107167
2021-09-16,106014.883069754
2021-09-17,106384.41321169761
2021-09-20,106855.96770097941
2021-09-21,105852.45759329048
2021-09-22,106211.81350266341
2021-09-24,106051.71906923948
2021-09-27,107016.99230176887
2021-09-28,107685.23410171359
2021-10-05,107420.38471447738
2021-10-08,106873.83208066193
2021-10-12,106907.20882692553
2021-10-15,108324.85600982548
2021-10-21,108581.122705387
2021-10-25,108366.11235228553
2021-11-05,108636.46257359741
2021-11-15,108373.65955679142
2021-11-17,108330.46577721817
2021-11-19,108374.89092482562
2021-11-23,108426.58555637507
2021-11-26,107120.76792118397
2021-11-29,107370.87060710795
2021-12-01,105162.30503945923
2021-12-03,104806.48989417414
2021-12-06,104084.39919778793
2021-12-07,104759.70165263148
2021-12-09,104977.38633185634
2021-12-10,104805.95591154613
2021-12-13,105957.05285339043
2021-12-14,105467.93715187686
2021-12-15,104119.1121774833
2021-12-16,103699.40031746577
2021-12-17,104559.20707944164
2021-12-20,105525.96089080515
2021-12-21,105685.81348005081
2021-12-23,107274.5185591155
2021-12-27,108668.99914434375
2021-12-28,108968.89897811729
2021-12-31,108281.83699838042
2022-01-04,107743.79459399782
2022-01-06,107309.4457283538
2022-01-07,107000.095456826
2022-01-24,106328.74130545618
2022-02-11,105515.0155225683
2022-02-14,105780.93210137695
2022-02-15,105915.52363978731
2022-02-16,105791.60277311534
2022-02-25,106151.32490727243
2022-02-28,106076.7885085286
2022-03-02,104749.00581070795
2022-03-03,106103.53770601304
2022-03-07,105017.57623458048
2022-03-08,105161.66909747937
2022-03-10,104296.89175870793
2022-03-11,104389.00457756512
2022-03-14,104359.88263051512
2022-03-15,103977.65835883936
2022-03-16,103725.77710316787
2022-03-17,101958.81973012646
2022-03-18,100914.0038926354
2022-03-21,102049.44937728852
2022-03-22,103005.08156084218
2022-03-25,103546.60041398056
2022-03-29,105846.33217843507
2022-03-30,106122.57649157399
2022-04-01,105457.32354731347
2022-04-04,105907.34666673918
2022-04-05,106296.07186670802
2022-04-06,106171.52054048365
2022-04-11,106520.00359640109
2022-04-12,105345.58283659453
2022-04-13,106113.10530992899
2022-04-14,106098.77435328452
2022-04-18,106895.41731926354
2022-04-19,106097.13769609487
2022-04-28,106972.4904722758
2022-04-29,106362.58462851291
2022-05-10,105544.08865208058
2022-05-13,103972.89907355848
2022-05-19,103470.36738875629
2022-05-20,103072.3739192076
2022-05-23,102914.64983207459
2022-05-24,102199.3285749607
2022-05-25,102840.16345624186
2022-05-31,103117.05536314819
2022-06-01,103235.32552572055
2022-06-03,102049.72609879255
2022-06-06,101171.09170234739
2022-06-07,100900.10917619124
2022-06-08,100148.47708980281
2022-06-10,99651.44791629084
2022-06-13,99575.64064456815
2022-06-14,100297.54789981368
2022-06-16,99698.09373192835
2022-06-17,97504.45765888013
2022-06-21,96168.94588221167
2022-06-22,94774.3071811994
2022-06-24,96000.86501038348
2022-07-14,95235.81350637898
2022-07-26,94630.83368203462
2022-08-04,93926.00977144254
2022-08-09,94264.36101617498
2022-08-10,94528.34729490418
2022-08-15,95092.34825004402
2022-08-16,95939.0906989498
2022-08-17,96156.11487855647
2022-08-18,96461.52687783436
2022-08-19,97031.49192917504
2022-08-22,96464.53395586082
2022-08-23,96480.92896663537
2022-08-24,96079.57056266884
