ticker,direction,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,net_pnl,return,holding_days,surprise_pct,earnings_date,stop_triggered,cost_commission,cost_spread,cost_slippage,cost_stamp_duty,cost_borrow,cost_total,used_tiered_costs
A,1,2021-02-18,2021-03-18,124.38835028266345,119.18139965870917,40.196690354344796,-209.3021819214528,-216.3021819214528,-0.043260436384290564,20,0.177,2021-02-16 16:00:00,False,2.0,0.0,5.0,0.0,0.0,7.0,False
A,1,2021-05-27,2021-06-25,128.74954283604396,141.97019379396417,38.83508935148024,513.4251612355644,506.42516123556436,0.10128503224711287,20,0.1632,2021-05-25 16:00:00,False,2.0,0.0,5.0,0.0,0.0,7.0,False
A,1,2021-08-19,2021-09-17,156.4005230586369,168.17842528810175,31.96920254624356,376.53014194361515,369.53014194361515,0.07390602838872302,20,0.106,2021-08-17 16:00:00,False,2.0,0.0,5.0,0.0,0.0,7.0,False
A,1,2022-08-18,2022-09-16,138.0079168758491,128.5142748996802,36.22980560236963,-343.9528032550956,-350.9528032550956,-0.07019056065101913,20,0.1096,2022-08-16 16:00:00,False,2.0,0.0,5.0,0.0,0.0,7.0,False
A,1,2022-11-23,2022-12-22,152.6580314645725,144.60952652763226,32.75294429012963,-263.61223381843723,-270.61223381843723,-0.054122446763687444,20,0.1033,2022-11-21 16:00:00,False,2.0,0.0,5.0,0.0,0.0,7.0,False
AA,1,2021-10-18,2021-11-15,52.4393330729369,48.73106449944592,95.34827594099248,-353.5770152085281,-360.5770152085281,-0.07211540304170562,20,0.1362,2021-10-14 16:00:00,False,2.0,0.0,5.0,0.0,0.0,7.0,False
AA,-1,2024-04-19,2024-05-21,34.41785125365401,41.43126238496688,145.27345019742248,-1018.8624326988288,-1036.8624326988288,-0.20737248653976575,22,-0.8601000000000001,2024-04-17 16:00:00,True,2.0,0.0,5.0,0.0,11.0,18.0,False
AA,1,2025-10-02,2025-11-13,33.922857059767075,40.114303761807506,147.39324553915776,912.5774239964537,905.5774239964537,0.18111548479929074,30,0.9057940000000001,2025-09-30 00:00:00,False,2.0,0.0,5.0,0.0,0.0,7.0,False
AA,1,2025-10-24,2025-12-08,38.31380933732166,43.91807348692793,130.50124971858324,731.3634752766717,724.3634752766717,0.14487269505533434,30,0.6296,2025-10-22 16:00:00,False,2.0,0.0,5.0,0.0,0.0,7.0,False
AAL,1,2022-10-24,2022-12-06,13.75,14.140000343322754,363.6363636363636,141.8183066628196,134.8183066628196,0.026963661332563917,30,0.2249,2022-10-20 07:00:00,False,2.0,0.0,5.0,0.0,0.0,7.0,False
